jop_title,company_name,exp_level,jop_details,link,
Data Management & Bigdata Team Lead,KnowledgeNet,7 - 12 Yrs of Exp,Full TimeManager · 7 - 12 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · ETL · Microsoft SQL Server · Data Developer · Data Stage,https://wuzzuf.net/jobs/p/YgEn4xAUtHFK-Data-Management-Bigdata-Team-Lead-KnowledgeNet-Cairo-Egypt?o=33&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst,Dough and More Food Industries,3 - 5 Yrs of Exp,Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Analyst · Analysis · Data · Data Analysis · Computer Science · Data Analyst · Relational Databases · Software,https://wuzzuf.net/jobs/p/jnXLXB066VhB-Data-Analyst-Dough-and-More-Food-Industries-Giza-Egypt?o=34&l=sp&t=sj&a=data science|search-v3|navbl, 
Java Team Lead,Ejada (Cairo),8+ Yrs of Exp,Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Data Structure · Core Java · Java 8 · JEE · WebSphere,https://wuzzuf.net/jobs/p/J3N8U3TwIiPE-Java-Team-Lead-Ejada-Cairo-Cairo-Egypt?o=35&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Java Developer,Ejada (Cairo),4 - 7 Yrs of Exp,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · J2EE · Java · MVC · Spring · Design · Hibernate Framework · Spring MVC · MVC Architecture,https://wuzzuf.net/jobs/p/bHNXNtSrCA6c-Senior Java Developer-Ejada-Cairo-Cairo-Egypt?o=36&l=sp&t=sj&a=data science|search-v3|navbl, 
Technical Lead,Block Gemini,5 - 8 Yrs of Exp,Full TimeManager · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Data · Design · Development · Engineering · Information Technology (IT) · Management,https://wuzzuf.net/jobs/p/fhPXuLrO9Ket-Technical-Lead-Block-Gemini-Giza-Egypt?o=37&l=sp&t=sj&a=data science|search-v3|navbl, 
Big Data Consultant,Fingerprint consultancy,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Big Data · ETL · Hadoop · Computer Engineering · Computer Science · Programming · Python,https://wuzzuf.net/jobs/p/JveT6pAvDMik-Big-Data-Consultant-Fingerprint-consultancy-Cairo-Egypt?o=38&l=sp&t=sj&a=data science|search-v3|navbl, 
IT Infrastructure Manager (Section Head),Zewail City,10 - 17 Yrs of Exp,Full TimeManager · 10 - 17 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Engineering · Project Management · Management · Computer Science · ITIL · Back End,https://wuzzuf.net/jobs/p/N2nKqO8Gr92J-IT-Infrastructure-Manager-Section-Head-Zewail-City-Giza-Egypt?o=39&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Engineer,Paymob Solutions,2+ Yrs of Exp,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Cloud · AWS · Computer Engineering · Data · Scala · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/keFORcJKZJDT-Data-Engineer-Paymob-Solutions-Cairo-Egypt?o=40&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst,Confidential,5 - 7 Yrs of Exp,Full TimeExperienced · 5 - 7 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Research Analysis · Analysis · Data Analysis · Data · excel · Reporting · business,https://wuzzuf.net/jobs/p/yANkcSK0Sr74-Data-Analyst-Cairo-Egypt?o=41&l=sp&t=sj&a=data science|search-v3|navbl, 
Software Tester,Confidential,4+ Yrs of Exp,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Data Warehouse · Data Warehousing · Agile · Quality Control · Software Testing · Quality Assurance · quality,https://wuzzuf.net/jobs/p/cqJwHOfdw8Dl-Software-Tester-Cairo-Egypt?o=42&l=sp&t=sj&a=data science|search-v3|navbl, 
GMP - Google Marketing Platform - Marketing Researcher,LG Electronics,3 - 6 Yrs of Exp,Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Engineering - Telecom/Technology · Business Intelligence · SQL · BI · Data · Information Technology (IT) · Analysis · Reporting,https://wuzzuf.net/jobs/p/If4xPNWbIP7G-GMP---Google-Marketing-Platform---Marketing-Researcher-LG-Electronics-Cairo-Egypt?o=43&l=sp&t=sj&a=data science|search-v3|navbl, 
IT Business Analyst,Seoudi Supermarket,7 - 10 Yrs of Exp,Full TimeExperienced · 7 - 10 Yrs of Exp · Business Development · IT/Software Development · Analyst/Research · Analysis · Business Analysis · analytical · Computer Engineering · Data Analysis · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/l10UsI0sBCUG-IT-Business-Analyst-Seoudi-Supermarket-Giza-Egypt?o=44&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Test Engineer (Team Leader),Confidential,5 - 8 Yrs of Exp,Full TimeManager · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Automation · Computer Science · Information Technology (IT) · Java · Programming · REST · SQL · Testing,https://wuzzuf.net/jobs/p/kMWs6yc4DmBv-Senior-Test-Engineer-Team-Leader-Cairo-Egypt?o=45&l=sp&t=sj&a=data science|search-v3|navbl, 
WordPress Developer / E-Commerce,The Hair Addict ,2+ Yrs of Exp,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · WordPress · woocommerce · Data Privacy · Troubleshooting · Woocommerce · E-Commerce,https://wuzzuf.net/jobs/p/cgT3gpCQwrUT-WordPress-Developer-E-Commerce-The-Hair-Addict-Cairo-Egypt?o=46&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Data Quality,BBI-Consultancy,4 - 6 Yrs of Exp,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Informatica · Data Validation · Data · Computer Science · Banking · Quality Control · Information Technology (IT),https://wuzzuf.net/jobs/p/4KjZWJjxSYz8-Senior-Data-Quality-BBI-Consultancy-Cairo-Egypt?o=47&l=sp&t=sj&a=data science|search-v3|navbl, 
AI Specialist (on-site),Union Coop,4+ Yrs of Exp,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Machine Learning · Data Science,https://wuzzuf.net/jobs/p/GbI5U5o6xh3Y-AI-Specialist-on-site-Union-Coop-Giza-Egypt?o=48&l=sp&t=sj&a=data science|search-v3|navbl, 
Quality Control Inspector,Confidential,5 - 10 Yrs of Exp,Full TimeExperienced · 5 - 10 Yrs of Exp · Manufacturing/Production · Quality · Control · Quality Control · Medical · Analysis · business · Communication · Data Analysis · Quality Assurance,https://wuzzuf.net/jobs/p/dhJYPXSVo4rn-Quality-Control-Inspector-Cairo-Egypt?o=49&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Business Analyst,Amanah,4+ Yrs of Exp,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Analysis · business · Business Analysis · Business Development · Communication · Communication skills,https://wuzzuf.net/jobs/p/Gs8Qy5CmH8xa-Senior-Business-Analyst-Amanah-Cairo-Egypt?o=50&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Engineer,Ashtar.app,3 - 6 Yrs of Exp,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · SQL · Analysis · Python · Big Data,https://wuzzuf.net/jobs/p/fDlF6yYJZ4ER-Data-Engineer-Ashtar-app-Cairo-Egypt?o=51&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Oracle Database Administrator,Egabi FSI,4 - 8 Yrs of Exp,Full TimeExperienced · 4 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Database · Information Technology (IT) · Linux · Oracle Data Guard · SQL · Oracle Database,https://wuzzuf.net/jobs/p/FCF804IKcCeH-Senior-Oracle-Database-Administrator-Egabi-FSI-Cairo-Egypt?o=52&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Engineer,SSC Egypt,5 - 8 Yrs of Exp,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · BI · Data · Engineering · Power BI · Python · Databricks · Computer Engineering,https://wuzzuf.net/jobs/p/1VslZp8jAkDF-Data-Engineer-SSC-Egypt-Giza-Egypt?o=53&l=sp&t=sj&a=data science|search-v3|navbl, 
Technical Engineer - German Speaker,Expleo,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · German · English · Java · Technical Support · Computer Science,https://wuzzuf.net/jobs/p/3XHRh2pNpOml-Technical-Engineer---German-Speaker-Expleo-Cairo-Egypt?o=54&l=sp&t=sj&a=data science|search-v3|navbl, 
Java Technical Lead,KnowledgeNet,6+ Yrs of Exp,Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Testing · Design · Spring Stack · Core · MVC,https://wuzzuf.net/jobs/p/sA7odtNxj6a7-Java-Technical-Lead-KnowledgeNet-Cairo-Egypt?o=55&l=sp&t=sj&a=data science|search-v3|navbl, 
